PUCID_productype,PUCID_refined,New.Description,refined,personal_communal,indoor_outdoor,cluster,Prev_hh,Prev_hh_yes,Prev_M,Prev_F,Prev_child,Freq,Freq_CV,HT,HT_CV,AT,Mass,Mass_CV
CP.1200.090,CP.1200.090.099.F,"laundry and fabric treatment , laundry starch NOC",1,Communal,I,0,NA,0.5,0.2,0.8,0,26,0.3,3,0.6,30,4.5,1
CP.1300.010,#N/A,#N/A,0,Communal,,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1300.010,CP.1300.010.099.F,"lime remover , lime remover NOC",1,Communal,I,0,NA,1,0.2,0.8,0,12,0.3,10,0.6,0,50,1
CP.1400.010,#N/A,#N/A,0,Communal,,Home cleaning,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1400.010,CP.1400.010.099.F,"metal specific , metal polish NOC",1,Communal,I,Home cleaning,NA,1,0.2,0.8,0,12,0.3,10,0.6,0,50,1
CP.1500.010,#N/A,#N/A,0,Communal,,Home cleaning,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1500.010,CP.1500.010.050.F,"oven , oven cleaner spray",1,Communal,I,Home cleaning,NA,0.5,0.2,0.8,0,26,0.3,20,0.6,0,30,1
CP.1500.010,CP.1500.010.099.F,"oven , oven cleaner NOC",1,Communal,I,Home cleaning,NA,0.5,0.2,0.8,0,26,0.3,20,0.6,0,30,1
CP.1600.010,#N/A,#N/A,0,Communal,,0,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1600.010,CP.1600.010.099.F,"shoes , shoe polish or protectant NOC",1,Communal,I,0,NA,1,0.2,0.8,0,11,1,10,0.6,0,5,1
CP.1700.010,#N/A,#N/A,0,Communal,,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1700.010,CP.1700.010.099.F,"upholstery specific , upholstery cleaner NOC",1,Communal,I,0,NA,1,0.2,0.8,0,12,0.3,20,0.6,0,50,1
CP.1800.010,#N/A,#N/A,0,Communal,,Home cleaning,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1800.010,CP.1800.010.050.F,"wood specific , wood polish spray",1,Communal,I,Home cleaning,NA,0.5,0.2,0.8,0,30,0.3,20,0.6,20,300,1
CP.1800.010,CP.1800.010.099.F,"wood specific , wood polish NOC",1,Communal,I,Home cleaning,NA,0.5,0.2,0.8,0,30,0.3,20,0.6,20,300,1
EL.0300.050,#N/A,#N/A,0,Communal,,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EL.0300.050,EL.0300.050.099.F,"computers and accessories/supplies , printer ink NOC",1,Communal,I,0,NA,1,0.2,0.8,0,104,0.3,5,0.3,0,1,1
EL.0300.060,#N/A,#N/A,0,Communal,,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EL.0300.060,EL.0300.060.099.F,"computers and accessories/supplies , printer toner NOC",1,Communal,I,0,NA,1,0.2,0.8,0,104,0.3,5,0.3,0,1,1
EL.0400.010,#N/A,#N/A,0,Communal,,0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EL.0400.010,EL.0400.010.050.F,"electronics cleaner , electronics cleaner spray",1,Communal,I,0,NA,0.5,0.2,0.8,0,13,0.3,10,0.6,0,9,1
EL.0400.010,EL.0400.010.099.F,"electronics cleaner , electronics cleaner NOC",1,Communal,I,0,NA,0.5,0.2,0.8,0,13,0.3,10,0.6,0,9,1
HM.0100.010,#N/A,#N/A,0,Communal,,0,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.0100.010,HM.0100.010.050.F,"adhesives and adhesive removers , adhesive remover spray",1,Communal,I,0,NA,0.5,0.2,0.8,0,1,1,60,0.6,0,500,1
HM.0100.010,HM.0100.010.099.F,"adhesives and adhesive removers , adhesive remover NOC",1,Communal,I,0,NA,0.5,0.2,0.8,0,1,1,60,0.6,0,500,1
HM.0100.020,#N/A,#N/A,0,Communal,,0,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.0100.020,HM.0100.020.050.F,"adhesives and adhesive removers , multipurpose adhesive spray",1,Communal,I,0,NA,0.5,0.2,0.8,0,52,0.3,20,1,0,10,1
HM.0100.020,HM.0100.020.099.F,"adhesives and adhesive removers , multipurpose adhesive NOC",1,Communal,I,0,NA,0.5,0.2,0.8,0,52,0.3,20,1,0,10,1
HM.0100.030,#N/A,#N/A,0,Communal,,0,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.0100.030,HM.0100.030.099.F,"adhesives and adhesive removers , wood adhesive NOC",1,Communal,I,0,NA,1,0.2,0.8,0,0.5,1,60,0.6,0,100,1
HM.0400.010,#N/A,#N/A,0,Communal,,0,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.0400.010,HM.0400.010.099.F,"caulk/sealant , caulk/sealant NOC",1,Communal,I,0,NA,1,0.2,0.8,0,3,1,15,1,30,75,1
HM.0500.010,#N/A,#N/A,0,Communal,,0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.0500.010,HM.0500.010.099.F,"concrete , concrete NOC",1,Communal,O,0,NA,1,0.8,0.2,0,1,1,60,0.6,30,8000,1
HM.0600.010,#N/A,#N/A,0,Communal,,0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.0600.010,HM.0600.010.050.F,"corrosion protection , corrosion protection spray",1,Communal,O,0,NA,0.5,0.8,0.2,0,6,1,20,1,0,90,1
HM.0600.010,HM.0600.010.099.F,"corrosion protection , corrosion protection NOC",1,Communal,O,0,NA,0.5,0.8,0.2,0,6,1,20,1,0,90,1
HM.0700.010,#N/A,#N/A,0,Communal,,0,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.0700.010,HM.0700.010.099.F,"degreaser , degreaser NOC",1,Communal,I,0,NA,1,0.2,0.8,0,15,0.3,30,1,0,100,1
HM.0800.010,#N/A,#N/A,0,Communal,,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.0800.010,HM.0800.010.050.F,"finish , finish spray",1,Communal,I,0,NA,0.5,0.2,0.8,0,2,1,60,0.6,0,1000,1
HM.0800.010,HM.0800.010.099.F,"finish , finish NOC",1,Communal,I,0,NA,0.5,0.2,0.8,0,2,1,60,0.6,0,1000,1
HM.1000.010,#N/A,#N/A,0,Communal,,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
