PUCID_productype,PUCID_refined,New.Description,refined,personal_communal,indoor_outdoor,cluster,Prev_hh,Prev_hh_yes,Prev_M,Prev_F,Prev_child,Freq,Freq_CV,HT,HT_CV,AT,Mass,Mass_CV
CP.1200.040,CP.1200.040.099.F,"laundry and fabric treatment , fabric protectant NOC",1,Communal,I,Laundry,NA,1,0.2,0.8,0,12,0.3,10,0.6,0,20,1
CP.1200.050,#N/A,#N/A,0,Communal,,Laundry,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1200.050,CP.1200.050.099.F,"laundry and fabric treatment , fabric softener NOC",1,Communal,I,Laundry,NA,1,0.2,0.8,0,104,0.3,5,0.6,0,100,1
CP.1200.060,#N/A,#N/A,0,Communal,,Laundry,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1200.060,CP.1200.060.052.F,"laundry and fabric treatment , laundry detergent liquid",1,Communal,I,Laundry,NA,0.33,0.2,0.8,0,364,0,3,0.6,10,200,1
CP.1200.060,CP.1200.060.053.F,"laundry and fabric treatment , laundry detergent powder",1,Communal,I,Laundry,NA,0.33,0.2,0.8,0,364,0,3,0.6,10,200,1
CP.1200.060,CP.1200.060.099.F,"laundry and fabric treatment , laundry detergent NOC",1,Communal,I,Laundry,NA,0.34,0.2,0.8,0,364,0,3,0.6,10,200,1
CP.1200.070,#N/A,#N/A,0,Communal,,Laundry,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1200.070,CP.1200.070.099.F,"laundry and fabric treatment , laundry fragrance NOC",1,Communal,I,Laundry,NA,1,0.2,0.8,0,128,0.3,3,0.6,10,5,1
CP.1200.080,#N/A,#N/A,0,Communal,,Laundry,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1200.080,CP.1200.080.050.F,"laundry and fabric treatment , laundry stain remover spray",1,Communal,I,Laundry,NA,0.5,0.2,0.8,0,128,0.3,3,0.6,10,5,1
CP.1200.080,CP.1200.080.099.F,"laundry and fabric treatment , laundry stain remover NOC",1,Communal,I,Laundry,NA,0.5,0.2,0.8,0,128,0.3,3,0.6,10,5,1
CP.1200.090,#N/A,#N/A,0,Communal,,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1200.090,CP.1200.090.050.F,"laundry and fabric treatment , laundry starch spray",1,Communal,I,0,NA,0.5,0.2,0.8,0,26,0.3,3,0.6,30,4.5,1
