PUCID_productype,PUCID_refined,New Description,source.id,Old description,new/old match?,refined,personal_communal,indoor_outdoor,cluster,Prev_hh,Prev_hh_yes,Prev_M,Prev_F,Prev_child,Freq,Freq_CV,HT,HT_CV,AT,Mass,Mass_CV
#N/A,CP.0400.030.099.F,"dishwasher and dishes , automatic dishwashing detergent NOC",P.IH.030.023,automatic dishwashing detergent powder,0,1,Communal,I,Dishwashing,,0.34,0.2,0.8,0,364,0,3,0.6,0,200,1
CP.0200.010,#N/A,#N/A,P.IH.040,#N/A,#N/A,0,Communal,,#N/A,0.8,,,,,,,,,,,
#N/A,CP.0200.010.050.F,"bathroom , bathroom cleaner spray",P.IH.040.029,bathroom cleaner spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,100,0.3,20,0.6,0,50,1
#N/A,CP.0200.010.099.F,"bathroom , bathroom cleaner NOC",P.IH.040.029,bathroom cleaner spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,100,0.3,20,0.6,0,50,1
CP.0700.010,#N/A,#N/A,P.IH.050,#N/A,#N/A,0,Communal,,#N/A,0.8,,,,,,,,,,,
#N/A,CP.0700.010.099.F,"general household cleaning , bleach NOC",P.IH.050.000,bleach,0,1,Communal,I,Laundry,,1,0.2,0.8,0,104,0.3,3,0.6,0,50,1
#N/A,#N/A,#N/A,P.IH.060,#N/A,#N/A,0,Communal,,#N/A,0.52,,,,,,,,,,,
#N/A,HF.0200.010.099.A,"décor , candles NOC",P.IH.060.000,candles,0,1,Communal,I,0,,1,0.2,0.8,0,364,0,2,0.6,0,5,1
CP.0300.010,#N/A,#N/A,P.IH.070,#N/A,#N/A,0,Communal,,#N/A,0.52,,,,,,,,,,,
#N/A,CP.0300.010.050.F,"carpet and floor , carpet cleaner spray",P.IH.070.029,carpet cleaner spray,0,1,Communal,I,Carpet cleaning,,0.5,0.2,0.8,0,12,0.3,30,0.6,0,200,1
#N/A,CP.0300.010.099.F,"carpet and floor , carpet cleaner NOC",P.IH.070.029,carpet cleaner spray,0,1,Communal,I,Carpet cleaning,,0.5,0.2,0.8,0,12,0.3,30,0.6,0,200,1
CP.0300.020,#N/A,#N/A,P.IH.080,#N/A,#N/A,0,Communal,,#N/A,0.2,,,,,,,,,,,
#N/A,CP.0300.020.099.F,"carpet and floor , carpet deodorizer NOC",P.IH.080.000,carpet deodorizer,0,1,Communal,I,Carpet cleaning,,1,0.2,0.8,0,12,0.3,30,0.6,0,500,1
CP.0400.040,#N/A,#N/A,P.IH.090,#N/A,#N/A,0,Communal,,#N/A,0.9,,,,,,,,,,,
#N/A,CP.0400.040.099.F,"dishwasher and dishes , dish soap NOC",P.IH.090.000,dish soap,0,1,Communal,I,0,,1,0.2,0.8,0,462,0,30,0.6,0,100,1
CP.0700.020,#N/A,#N/A,P.IH.100,#N/A,#N/A,0,Communal,,#N/A,0.57,,,,,,,,,,,
#N/A,CP.0700.020.050.F,"general household cleaning , disinfectant spray",P.IH.100.029,disinfectant spray,0,1,Communal,I,Home cleaning,,0.5,0.2,0.8,0,364,0,5,0.6,0,23,1
#N/A,CP.0700.020.099.F,"general household cleaning , disinfectant NOC",P.IH.100.029,disinfectant spray,0,1,Communal,I,Home cleaning,,0.5,0.2,0.8,0,364,0,5,0.6,0,23,1
CP.0500.010,#N/A,#N/A,P.IH.110,#N/A,#N/A,0,Communal,,#N/A,0.3,,,,,,,,,,,
#N/A,CP.0500.010.099.F,"drain , drain NOC",P.IH.110.000,drain,0,1,Communal,I,Home cleaning,,1,0.2,0.8,0,4,1,15,0.6,0,500,1
CP.1200.010,#N/A,#N/A,P.IH.120,#N/A,#N/A,0,Communal,,#N/A,0.05,,,,,,,,,,,
#N/A,CP.1200.010.099.F,"laundry and fabric treatment , dry cleaner NOC",P.IH.120.000,dry cleaner,0,1,Communal,I,Laundry,,1,0.2,0.8,0,12,0.3,5,0.6,0,3,1
CP.1200.020,#N/A,#N/A,P.IH.130,#N/A,#N/A,0,Communal,,#N/A,0.8,,,,,,,,,,,
#N/A,CP.1200.020.099.F,"laundry and fabric treatment , dryer sheets NOC",P.IH.130.000,dryer sheets,0,1,Communal,I,Laundry,,1,0.2,0.8,0,364,0,1,0.6,60,200,1
EL.0400.010,#N/A,#N/A,P.IH.140,#N/A,#N/A,0,Communal,,#N/A,0.13,,,,,,,,,,,
#N/A,EL.0400.010.050.F,"electronics cleaner , electronics cleaner spray",P.IH.140.029,electronics cleaner spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,13,0.3,10,0.6,0,9,1
#N/A,EL.0400.010.099.F,"electronics cleaner , electronics cleaner NOC",P.IH.140.029,electronics cleaner spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,13,0.3,10,0.6,0,9,1
CP.1200.030,#N/A,#N/A,P.IH.150,#N/A,#N/A,0,Communal,,#N/A,0.7,,,,,,,,,,,
#N/A,CP.1200.030.099.F,"laundry and fabric treatment , fabric deodorizer NOC",P.IH.150.000,fabric deodorizer,0,1,Communal,I,Laundry,,1,0.2,0.8,0,104,0.3,15,0.6,0,50,1
CP.1200.040,#N/A,#N/A,P.IH.160,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,CP.1200.040.099.F,"laundry and fabric treatment , fabric protectant NOC",P.IH.160.000,fabric protectant,0,1,Communal,I,Laundry,,1,0.2,0.8,0,12,0.3,10,0.6,0,20,1
CP.1200.050,#N/A,#N/A,P.IH.170,#N/A,#N/A,0,Communal,,#N/A,0.8,,,,,,,,,,,
#N/A,CP.1200.050.099.F,"laundry and fabric treatment , fabric softener NOC",P.IH.170.000,fabric softener,0,1,Communal,I,Laundry,,1,0.2,0.8,0,104,0.3,5,0.6,0,100,1
CP.0600.010,#N/A,#N/A,P.IH.180,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,CP.0600.010.099.F,"fireplace , fireplace NOC",P.IH.180.000,fireplace,0,1,Communal,I,0,,1,0.2,0.8,0,2,1,30,0.6,0,50,1
CP.0300.030,#N/A,#N/A,P.IH.190,#N/A,#N/A,0,Communal,,#N/A,0.69,,,,,,,,,,,
#N/A,CP.0300.030.099.F,"carpet and floor , floor cleaner NOC",P.IH.190.000,floor cleaner,0,1,Communal,I,Home cleaning,,1,0.2,0.8,0,100,0.3,30,0.6,0,600,1
CP.0300.040,#N/A,#N/A,P.IH.200,#N/A,#N/A,0,Communal,,#N/A,0.69,,,,,,,,,,,
#N/A,CP.0300.040.099.F,"carpet and floor , floor polish NOC",P.IH.200.000,floor polish,0,1,Communal,I,Home cleaning,,1,0.2,0.8,0,2,1,30,0.6,0,550,1
CP.0700.030,#N/A,#N/A,P.IH.210,#N/A,#N/A,0,Communal,,#N/A,0.88,,,,,,,,,,,
#N/A,CP.0700.030.050.F,"general household cleaning , glass cleaner spray",P.IH.210.029,glass cleaner-spray,0,1,Communal,I,Home cleaning,,0.5,0.2,0.8,0,72,0.3,20,0.6,0,20,1
#N/A,CP.0700.030.099.F,"general household cleaning , glass cleaner NOC",P.IH.210.029,glass cleaner-spray,0,1,Communal,I,Home cleaning,,0.5,0.2,0.8,0,72,0.3,20,0.6,0,20,1
CP.0800.010,#N/A,#N/A,P.IH.220,#N/A,#N/A,0,Personal,,#N/A,,,0.3,0.3,0.3,,,,,,,
#N/A,CP.0800.010.099.F,"hand cleaner , hand cleaner NOC",P.IH.220.000,hand cleaner,0,1,Personal,I,0,,,1,1,1,52,0.3,2,0.6,0,20,1
CP.0900.010,#N/A,#N/A,P.IH.230,#N/A,#N/A,0,Communal,,#N/A,0.1,,,,,,,,,,,
#N/A,CP.0900.010.050.F,"heavy duty cleaner , heavy duty cleaner spray",P.IH.230.029,heavy duty cleaner spray,0,1,Communal,I,Home cleaning,,0.5,0.2,0.8,0,180,0.3,30,0.6,0,50,1
#N/A,CP.0900.010.099.F,"heavy duty cleaner , heavy duty cleaner NOC",P.IH.230.029,heavy duty cleaner spray,0,1,Communal,I,Home cleaning,,0.5,0.2,0.8,0,180,0.3,30,0.6,0,50,1
CP.1000.010,#N/A,#N/A,P.IH.240,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,CP.1000.010.050.F,"houseplant care , houseplant care spray",P.IH.240.029,houseplant care spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,52,0.3,10,0.6,0,20,1
#N/A,CP.1000.010.099.F,"houseplant care , houseplant care NOC",P.IH.240.029,houseplant care spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,52,0.3,10,0.6,0,20,1
CP.1100.010,#N/A,#N/A,P.IH.250,#N/A,#N/A,0,Communal,,#N/A,0.1,,,,,,,,,,,
#N/A,CP.1100.010.099.F,"lamp oil/lighter fluid , lamp oil/lighter fluid NOC",P.IH.250.000,lamp oil/lighter fluid,0,1,Communal,I,0,,1,0.2,0.8,0,12,0.3,5,0.6,5,10,1
CP.1200.060,#N/A,#N/A,P.IH.260,#N/A,#N/A,0,Communal,,#N/A,0.8,,,,,,,,,,,
#N/A,CP.1200.060.052.F,"laundry and fabric treatment , laundry detergent liquid",P.IH.260.013,laundry detergent liquid,0,1,Communal,I,Laundry,,0.33,0.2,0.8,0,364,0,3,0.6,10,200,1
#N/A,CP.1200.060.053.F,"laundry and fabric treatment , laundry detergent powder",P.IH.260.023,laundry detergent powder,0,1,Communal,I,Laundry,,0.33,0.2,0.8,0,364,0,3,0.6,10,200,1
#N/A,CP.1200.060.099.F,"laundry and fabric treatment , laundry detergent NOC",P.IH.260.023,laundry detergent powder,0,1,Communal,I,Laundry,,0.34,0.2,0.8,0,364,0,3,0.6,10,200,1
CP.1200.070,#N/A,#N/A,P.IH.270,#N/A,#N/A,0,Communal,,#N/A,0.8,,,,,,,,,,,
#N/A,CP.1200.070.099.F,"laundry and fabric treatment , laundry fragrance NOC",P.IH.270.000,laundry fragrance,0,1,Communal,I,Laundry,,1,0.2,0.8,0,128,0.3,3,0.6,10,5,1
CP.1200.080,#N/A,#N/A,P.IH.280,#N/A,#N/A,0,Communal,,#N/A,0.8,,,,,,,,,,,
#N/A,CP.1200.080.050.F,"laundry and fabric treatment , laundry stain remover spray",P.IH.280.029,laundry stain remover spray,0,1,Communal,I,Laundry,,0.5,0.2,0.8,0,128,0.3,3,0.6,10,5,1
#N/A,CP.1200.080.099.F,"laundry and fabric treatment , laundry stain remover NOC",P.IH.280.029,laundry stain remover spray,0,1,Communal,I,Laundry,,0.5,0.2,0.8,0,128,0.3,3,0.6,10,5,1
CP.1200.090,#N/A,#N/A,P.IH.290,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,CP.1200.090.050.F,"laundry and fabric treatment , laundry starch spray",P.IH.290.029,laundry starch-spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,26,0.3,3,0.6,30,4.5,1
#N/A,CP.1200.090.099.F,"laundry and fabric treatment , laundry starch NOC",P.IH.290.029,laundry starch-spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,26,0.3,3,0.6,30,4.5,1
CP.1300.010,#N/A,#N/A,P.IH.300,#N/A,#N/A,0,Communal,,#N/A,0.3,,,,,,,,,,,
#N/A,CP.1300.010.099.F,"lime remover , lime remover NOC",P.IH.300.000,lime remover,0,1,Communal,I,0,,1,0.2,0.8,0,12,0.3,10,0.6,0,50,1
CP.1400.010,#N/A,#N/A,P.IH.310,#N/A,#N/A,0,Communal,,#N/A,0.5,,,,,,,,,,,
#N/A,CP.1400.010.099.F,"metal specific , metal polish NOC",P.IH.310.000,metal polish,0,1,Communal,I,Home cleaning,,1,0.2,0.8,0,12,0.3,10,0.6,0,50,1
CP.1500.010,#N/A,#N/A,P.IH.320,#N/A,#N/A,0,Communal,,#N/A,0.38,,,,,,,,,,,
#N/A,CP.1500.010.050.F,"oven , oven cleaner spray",P.IH.320.029,oven cleaner spray,0,1,Communal,I,Home cleaning,,0.5,0.2,0.8,0,26,0.3,20,0.6,0,30,1
#N/A,CP.1500.010.099.F,"oven , oven cleaner NOC",P.IH.320.029,oven cleaner spray,0,1,Communal,I,Home cleaning,,0.5,0.2,0.8,0,26,0.3,20,0.6,0,30,1
CP.1600.010,#N/A,#N/A,P.IH.330,#N/A,#N/A,0,Communal,,#N/A,0.12,,,,,,,,,,,
#N/A,CP.1600.010.099.F,"shoes , shoe polish or protectant NOC",P.IH.330.000,shoe polish or protectant,0,1,Communal,I,0,,1,0.2,0.8,0,11,1,10,0.6,0,5,1
CP.0700.040,#N/A,#N/A,P.IH.340,#N/A,#N/A,0,Communal,,#N/A,1,,,,,,,,,,,
#N/A,CP.0700.040.050.F,"general household cleaning , surface cleaner spray",P.IH.340.029,surface cleaner spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,364,0,15,0.6,0,20,1
#N/A,CP.0700.040.099.F,"general household cleaning , surface cleaner NOC",P.IH.340.029,surface cleaner spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,364,0,15,0.6,0,20,1
CP.1700.010,#N/A,#N/A,P.IH.350,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,CP.1700.010.099.F,"upholstery specific , upholstery cleaner NOC",P.IH.350.000,upholstery cleaner,0,1,Communal,I,0,,1,0.2,0.8,0,12,0.3,20,0.6,0,50,1
CP.1800.010,#N/A,#N/A,P.IH.360,#N/A,#N/A,0,Communal,,#N/A,0.64,,,,,,,,,,,
#N/A,CP.1800.010.050.F,"wood specific , wood polish spray",P.IH.360.029,wood polish spray,0,1,Communal,I,Home cleaning,,0.5,0.2,0.8,0,30,0.3,20,0.6,20,300,1
#N/A,CP.1800.010.099.F,"wood specific , wood polish NOC",P.IH.360.029,wood polish spray,0,1,Communal,I,Home cleaning,,0.5,0.2,0.8,0,30,0.3,20,0.6,20,300,1
LY.0100.010,#N/A,#N/A,P.LY.010,#N/A,#N/A,0,Communal,,#N/A,0.1,,,,,,,,,,,
#N/A,LY.0100.010.040.F,"cleaner , cleaner exterior",P.LY.010.005,cleaner exterior,0,1,Communal,I,0,,1,0.2,0.8,0,1,1,60,0.6,0,1000,1
LY.0600.010,#N/A,#N/A,P.LY.020,#N/A,#N/A,0,Communal,,#N/A,0.2,,,,,,,,,,,
#N/A,LY.0600.010.099.F,"plants and garden , garden care NOC",P.LY.020.000,garden care,0,1,Communal,O,Other Outdoor,,1,0.8,0.2,0,12,0.3,30,1,30,100,1
LY.0600.020,#N/A,#N/A,P.LY.030,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,LY.0600.020.099.F,"plants and garden , garden fertilizer NOC",P.LY.030.000,garden fertilizer,0,1,Communal,O,Other Outdoor,,1,0.8,0.2,0,4,1,30,1,0,10000,1
LY.0200.010,#N/A,#N/A,P.LY.040,#N/A,#N/A,0,Communal,,#N/A,0.5,,,,,,,,,,,
#N/A,LY.0200.010.099.F,"grill/camping fuel , grill/camping fuel NOC",P.LY.040.000,grill/camping fuel,0,1,Communal,O,0,,1,0.8,0.2,0,12,0.3,10,1,50,20,1
LY.0300.010,#N/A,#N/A,P.LY.050,#N/A,#N/A,0,Communal,,#N/A,0.3,,,,,,,,,,,
#N/A,LY.0300.010.050.F,"herbicide , herbicide spray",P.LY.050.029,herbicide spray,0,1,Communal,O,Lawn Product,,0.5,0.8,0.2,0,2,1,5,1,0,10000,1
#N/A,LY.0300.010.099.F,"herbicide , herbicide NOC",P.LY.050.029,herbicide spray,0,1,Communal,O,Lawn Product,,0.5,0.8,0.2,0,2,1,5,1,0,10000,1
LY.0400.010,#N/A,#N/A,P.LY.060,#N/A,#N/A,0,Communal,,#N/A,0.3,,,,,,,,,,,
#N/A,LY.0400.010.099.F,"lawn fertilizer , lawn fertilizer NOC",P.LY.060.000,lawn fertilizer,0,1,Communal,O,Lawn Product,,1,0.8,0.2,0,2,1,30,1,0,5000,1
LY.0500.010,#N/A,#N/A,P.LY.070,#N/A,#N/A,0,Communal,,#N/A,0.05,,,,,,,,,,,
#N/A,LY.0500.010.099.F,"lawnmower , lawnmower fluids NOC",P.LY.070.000,lawnmower fluids,0,1,Communal,O,Lawn Product,,1,0.8,0.2,0,12,0.3,5,1,40,100,1
LY.0600.030,#N/A,#N/A,P.LY.080,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,LY.0600.030.099.F,"plants and garden , mulch NOC",P.LY.080.000,mulch,0,1,Communal,O,Other Outdoor,,1,0.8,0.2,0,4,1,30,1,0,10000,1
LY.0700.010,#N/A,#N/A,P.LY.090,#N/A,#N/A,0,Communal,,#N/A,0.05,,,,,,,,,,,
#N/A,LY.0700.010.030.F,"pool , pool chemicals algaecide",P.LY.090.002,pool chemicals algaecide,0,1,Communal,O,Pool,,0.2,0.8,0.2,0,28,0.3,5,1,0,500,1
#N/A,LY.0700.010.031.F,"pool , pool chemicals chlorinating",P.LY.090.003,pool chemicals chlorinating,0,1,Communal,O,Pool,,0.2,0.8,0.2,0,28,0.3,5,1,0,500,1
#N/A,LY.0700.010.032.F,"pool , pool chemicals ph control",P.LY.090.022,pool chemicals ph control,0,1,Communal,O,Pool,,0.2,0.8,0.2,0,28,0.3,5,1,0,500,1
#N/A,LY.0700.010.033.F,"pool , pool chemicals shock",P.LY.090.025,pool chemicals shock,0,1,Communal,O,Pool,,0.2,0.8,0.2,0,28,0.3,5,1,0,500,1
#N/A,LY.0700.010.099.F,"pool , pool chemicals NOC",P.LY.090.025,pool chemicals shock,0,1,Communal,O,Pool,,0.2,0.8,0.2,0,28,0.3,5,1,0,500,1
LY.0600.040,#N/A,#N/A,P.LY.100,#N/A,#N/A,0,Communal,,#N/A,0.2,,,,,,,,,,,
#N/A,LY.0600.040.099.F,"plants and garden , potting soil NOC",P.LY.100.000,potting soil,0,1,Communal,O,Other Outdoor,,1,0.8,0.2,0,12,0.3,30,1,0,250,1
LY.0800.010,#N/A,#N/A,P.LY.110,#N/A,#N/A,0,Communal,,#N/A,0.1,,,,,,,,,,,
#N/A,LY.0800.010.099.F,"surface deicer , surface deicer NOC",P.LY.110.000,surface deicer,0,1,Communal,O,Other Outdoor,,1,0.8,0.2,0,3,1,20,1,0,1000,1
LY.0600.050,#N/A,#N/A,P.LY.120,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,LY.0600.050.099.F,"plants and garden , trees NOC",P.LY.120.000,trees,0,1,Communal,O,Other Outdoor,,1,0.8,0.2,0,4,1,10,1,5,100,1
PC.0100.010,#N/A,#N/A,P.PC.010,#N/A,#N/A,0,Personal,,#N/A,,,0.2,0.2,0,,,,,,,
#N/A,PC.0100.010.050.F,"acne treatment , acne spot treatment spray",P.PC.010.029,acne spot treatment spray,0,1,Personal,I,0,,,0.5,0.5,0.5,132,0.3,5,0.3,0,1.2,1
#N/A,PC.0100.010.099.F,"acne treatment , acne spot treatment NOC",P.PC.010.029,acne spot treatment spray,0,1,Personal,I,0,,,0.5,0.5,0.5,132,0.3,5,0.3,0,1.2,1
PC.2700.040,#N/A,#N/A,P.PC.020,#N/A,#N/A,0,Personal,,#N/A,,,0.2,0,0,,,,,,,
#N/A,PC.2700.040.099.F,"shaving and hair removal , aftershave  NOC",P.PC.020.000,aftershave,0,1,Personal,I,0,,,1,1,1,132,0.3,5,0.3,0,1.2,1
PC.0800.010,#N/A,#N/A,P.PC.030,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.01,0.4,,,,,,,
#N/A,PC.0800.010.001.F,"child specific , baby lotion child",P.PC.030.000,baby lotion,0,1,Personal,I,Baby Bathing,,,1,1,1,182,0,3,0.3,0,5,1
PC.0800.020,#N/A,#N/A,P.PC.040,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.01,0.4,,,,,,,
#N/A,PC.0800.020.001.F,"child specific , baby oil child",P.PC.040.000,baby oil,0,1,Personal,I,Baby Bathing,,,1,1,1,182,0,3,0.3,0,5,1
PC.0800.030,#N/A,#N/A,P.PC.050,#N/A,#N/A,0,Personal,,#N/A,,,0.05,0.05,0.14,,,,,,,
#N/A,PC.0800.030.001.F,"child specific , baby powder child",P.PC.050.000,baby powder,0,1,Personal,I,Baby Bathing,,,1,1,1,730,0,3,0.3,0,0.8,1
PC.0800.040,#N/A,#N/A,P.PC.060,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.01,0.7,,,,,,,
#N/A,PC.0800.040.001.F,"child specific , baby shampoo child",P.PC.060.000,baby shampoo,0,1,Personal,I,Baby Bathing,,,1,1,1,52,0.3,3,0.3,0,5,1
PC.0800.050,#N/A,#N/A,P.PC.070,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.01,0.73,,,,,,,
#N/A,PC.0800.050.001.F,"child specific , baby wash child",P.PC.070.000,baby wash,0,1,Personal,I,Baby Bathing,,,1,1,1,364,0,3,0.3,0,5,1
PC.0800.060,#N/A,#N/A,P.PC.080,#N/A,#N/A,0,Communal,,#N/A,0.15,,,,,,,,,,,
#N/A,PC.0800.060.001.F,"child specific , baby wipes child",P.PC.080.000,baby wipes,0,1,Communal,I,0,,1,0.2,0.8,0,364,0,3,0.3,0,5,1
PC.0500.010,#N/A,#N/A,P.PC.090,#N/A,#N/A,0,Personal,,#N/A,,,0.9,0.9,0.9,,,,,,,
#N/A,PC.0500.010.099.F,"body hygiene , bar soap NOC",P.PC.090.000,bar soap,0,1,Personal,I,0,,,1,1,1,1095,0,2,0.3,0,2,1
PC.2800.010,#N/A,#N/A,P.PC.100,#N/A,#N/A,0,Personal,,#N/A,,,0.3,0.3,0.3,,,,,,,
#N/A,PC.2800.010.099.F,"specialized bath products , bath oil  NOC",P.PC.100.000,bath oil,0,1,Personal,I,Bathing,,,1,1,1,50,0.3,20,0.3,0,25,1
PC.0800.070,#N/A,#N/A,P.PC.110,#N/A,#N/A,0,Personal,,#N/A,,,0.05,0.05,1,,,,,,,
#N/A,PC.0800.070.001.F,"child specific , bath paints/crayons child",P.PC.110.000,bath paints/crayons,0,1,Personal,I,Bathing,,,1,1,1,120,0.3,20,0.3,0,0.1,1
PC.2800.020,#N/A,#N/A,P.PC.120,#N/A,#N/A,0,Personal,,#N/A,,,0.3,0.3,0.3,,,,,,,
#N/A,PC.2800.020.099.F,"specialized bath products , bath salts  NOC",P.PC.120.000,bath salts,0,1,Personal,I,Bathing,,,1,1,1,50,0.3,20,0.3,0,25,1
PC.0200.010,#N/A,#N/A,P.PC.130,#N/A,#N/A,0,Personal,,#N/A,,,0.2,0.05,0.05,,,,,,,
#N/A,PC.0200.010.099.F,"bite relief , bite relief NOC",P.PC.130.000,bite relief,0,1,Personal,I,0,,,1,1,1,30,0.3,2,0.3,5,10,1
PC.2300.010,#N/A,#N/A,P.PC.140,#N/A,#N/A,0,Personal,,#N/A,,,0.05,0.65,0,,,,,,,
#N/A,PC.2300.010.099.F,"make-up and related , blush/bronzer NOC",P.PC.140.000,blush/bronzer,0,1,Personal,I,Skin Makeup,,,1,1,1,364,0,5,0.3,0,2,1
PC.0300.010,#N/A,#N/A,P.PC.150,#N/A,#N/A,0,Personal,,#N/A,,,0.01,0.1,0,,,,,,,
#N/A,PC.0300.010.099.F,"body adhesive , body adhesive NOC",P.PC.150.000,body adhesive,0,1,Personal,I,0,,,1,1,1,120,0.3,5,0.3,0,0.005,1
PC.0400.010,#N/A,#N/A,P.PC.160,#N/A,#N/A,0,Personal,,#N/A,,,0.05,0.65,0,,,,,,,
#N/A,PC.0400.010.099.F,"body care set , body care set NOC",P.PC.160.000,body care set,0,1,Personal,I,Skin Makeup,,,1,1,1,364,0,5,0.3,0,2,1
PC.0600.010,#N/A,#N/A,P.PC.170,#N/A,#N/A,0,Personal,,#N/A,,,0.3,0.3,0.3,,,,,,,
#N/A,PC.0600.010.050.F,"body oil , body oil spray",P.PC.170.029,body oil-spray,0,1,Personal,I,0,,,0.5,0.5,0.5,50,0.3,5,0.3,0,25,1
#N/A,PC.0600.010.099.F,"body oil , body oil NOC",P.PC.170.029,body oil-spray,0,1,Personal,I,0,,,0.5,0.5,0.5,50,0.3,5,0.3,0,25,1
PC.0700.010,#N/A,#N/A,P.PC.180,#N/A,#N/A,0,Personal,,#N/A,,,0.2,0.5,0.2,,,,,,,
#N/A,PC.0700.010.099.F,"body powder , body powder NOC",P.PC.180.000,body powder,0,1,Personal,I,Skin Makeup,,,1,1,1,65.7,0.3,5,0.3,0,2,1
PC.0500.020,#N/A,#N/A,P.PC.190,#N/A,#N/A,0,Personal,,#N/A,,,0.8,0.8,0.8,,,,,,,
#N/A,PC.0500.020.099.F,"body hygiene , body scrub NOC",P.PC.190.000,body scrub,0,1,Personal,I,Bathing,,,1,1,1,364,0,5,0.3,0,12,1
PC.0500.030,#N/A,#N/A,P.PC.200,#N/A,#N/A,0,Personal,,#N/A,,,0.8,0.8,0.8,,,,,,,
#N/A,PC.0500.030.099.F,"body hygiene , body wash NOC",P.PC.200.000,body wash,0,1,Personal,I,Bathing,,,1,1,1,364,0,2,0.3,0,12,1
PC.0500.040,#N/A,#N/A,P.PC.210,#N/A,#N/A,0,Personal,,#N/A,,,0.5,0.5,0.94,,,,,,,
#N/A,PC.0500.040.099.F,"body hygiene , body wipes NOC",P.PC.210.000,body wipes,0,1,Personal,I,Bathing,,,1,1,1,1095,0,2,0.3,0,2,1
PC.2800.030,#N/A,#N/A,P.PC.220,#N/A,#N/A,0,Personal,,#N/A,,,0.06,0.15,0.43,,,,,,,
#N/A,PC.2800.030.099.F,"specialized bath products , bubble bath  NOC",P.PC.220.000,bubble bath,0,1,Personal,I,Bathing,,,1,1,1,2.92,1,20,0.3,0,20,1
PC.2700.050,#N/A,#N/A,P.PC.230,#N/A,#N/A,0,Communal,,#N/A,0.03,,,,,,,,,,,
#N/A,PC.2700.050.099.F,"shaving and hair removal , clipper lubricant/cleaner  NOC",P.PC.230.000,clipper lubricant/cleaner,0,1,Communal,I,0,,1,0.2,0.8,0,12,0.3,10,0.3,0,30,1
PC.1100.020,#N/A,#N/A,P.PC.240,#N/A,#N/A,0,Personal,,#N/A,,,0.4,0.4,0.1,,,,,,,
#N/A,PC.1100.020.050.F,"eye care and contacts , contact care spray",P.PC.240.029,contact care-spray,0,1,Personal,I,0,,,0.5,0.5,0.5,364,0,3,0.3,0,10,1
#N/A,PC.1100.020.099.F,"eye care and contacts , contact care NOC",P.PC.240.029,contact care-spray,0,1,Personal,I,0,,,0.5,0.5,0.5,364,0,3,0.3,0,10,1
PC.2300.020,#N/A,#N/A,P.PC.250,#N/A,#N/A,0,Communal,,#N/A,0.03,,,,,,,,,,,
#N/A,PC.2300.020.099.F,"make-up and related , cosmetic tool cleaner NOC",P.PC.250.000,cosmetic tool cleaner,0,1,Communal,I,0,,1,0.2,0.8,0,12,0.3,10,0.3,0,30,1
PC.0900.030,#N/A,#N/A,P.PC.260,#N/A,#N/A,0,Personal,,#N/A,,,0.1,0.1,0,,,,,,,
#N/A,PC.0900.030.099.F,"dental care , denture adhesive NOC",P.PC.260.000,denture adhesive,0,1,Personal,I,Dentures,,,1,1,1,364,0,3,0.3,0,20,1
PC.0900.040,#N/A,#N/A,P.PC.270,#N/A,#N/A,0,Personal,,#N/A,,,0.1,0.1,0,,,,,,,
#N/A,PC.0900.040.099.F,"dental care , denture cleaner NOC",P.PC.270.000,denture cleaner,0,1,Personal,I,Dentures,,,1,1,1,364,0,3,0.3,0,20,1
PC.1000.010,#N/A,#N/A,P.PC.280,#N/A,#N/A,0,Personal,,#N/A,,,1,1,0.1,,,,,,,
#N/A,PC.1000.010.051.F,"deodorant , deodorant gel",P.PC.280.007,deodorant gel,0,1,Personal,I,0,,,0.25,0.25,0.25,364,0,2,0.3,0,2,1
