PUCID_productype,PUCID_refined,New Description,source.id,Old description,new/old match?,refined,personal_communal,indoor_outdoor,cluster,Prev_hh,Prev_hh_yes,Prev_M,Prev_F,Prev_child,Freq,Freq_CV,HT,HT_CV,AT,Mass,Mass_CV
#N/A,HM.2100.020.099.F,"tiling , mortar or grout NOC",P.HM.100.000,mortar or grout,0,1,Communal,O,0,,1,0.8,0.2,0,0.2,1,360,0.6,0,15000,1
HM.0100.020,#N/A,#N/A,P.HM.110,#N/A,#N/A,0,Communal,,#N/A,0.61,,,,,,,,,,,
#N/A,HM.0100.020.050.F,"adhesives and adhesive removers , multipurpose adhesive spray",P.HM.110.029,multipurpose adhesive spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,52,0.3,20,1,0,10,1
#N/A,HM.0100.020.099.F,"adhesives and adhesive removers , multipurpose adhesive NOC",P.HM.110.029,multipurpose adhesive spray,0,1,Communal,I,0,,0.5,0.2,0.8,0,52,0.3,20,1,0,10,1
HM.1400.010,#N/A,#N/A,P.HM.120,#N/A,#N/A,0,Communal,,#N/A,0.44,,,,,,,,,,,
#N/A,HM.1400.010.040.F,"paint/stain and related products , paint exterior",P.HM.120.005,paint exterior,0,1,Communal,O,Painting,,0.25,0.8,0.2,0,2,1,120,0.6,30,3000,1
#N/A,HM.1400.010.041.F,"paint/stain and related products , paint interior",P.HM.120.009,paint interior,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,2,1,120,0.6,30,1000,1
#N/A,HM.1400.010.050.F,"paint/stain and related products , paint spray",P.HM.120.029,paint spray,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,4,1,30,1,30,180,1
#N/A,HM.1400.010.099.F,"paint/stain and related products , paint NOC",P.HM.120.029,paint spray,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,4,1,30,1,30,180,1
HM.1400.020,#N/A,#N/A,P.HM.130,#N/A,#N/A,0,Communal,,#N/A,0.05,,,,,,,,,,,
#N/A,HM.1400.020.050.F,"paint/stain and related products , paint cleaner spray",P.HM.130.029,paint cleaner-spray,0,1,Communal,I,Painting,,0.5,0.2,0.8,0,12,0.3,10,1,0,50,1
#N/A,HM.1400.020.099.F,"paint/stain and related products , paint cleaner NOC",P.HM.130.029,paint cleaner-spray,0,1,Communal,I,Painting,,0.5,0.2,0.8,0,12,0.3,10,1,0,50,1
HM.1400.030,#N/A,#N/A,P.HM.140,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,HM.1400.030.099.F,"paint/stain and related products , paint texture NOC",P.HM.140.000,paint texture,0,1,Communal,I,Painting,,1,0.2,0.8,0,0.5,1,120,1,10,200,1
HM.1400.040,#N/A,#N/A,P.HM.150,#N/A,#N/A,0,Communal,,#N/A,0.36,,,,,,,,,,,
#N/A,HM.1400.040.099.F,"paint/stain and related products , paint thinner NOC",P.HM.150.000,paint thinner,0,1,Communal,I,Painting,,1,0.2,0.8,0,3,1,10,1,0,500,1
HM.1500.010,#N/A,#N/A,P.HM.160,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,HM.1500.010.099.F,"patch and repair , patch and repair NOC",P.HM.160.000,patch and repair,0,1,Communal,I,0,,1,0.2,0.8,0,12,0.3,30,1,0,200,1
