PUCID_productype,NO2017,HUP,IUP,Seasonality,M,F,W,B,A,N,P,O,age0_5,age6_12,age13_15,age16_18,age19_49,age50plus,kownrent,sewdis,dishwash,stoven,cars,pcprint,swim,yard,Hot_Warm,Cool,Cold,personal_communal
CP.1000.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Communal
CP.1100.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Communal
CP.1200.060,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.1200.070,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.1200.080,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.1200.090,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.1300.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,Communal
CP.1400.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,Communal
CP.1500.010,,1,0,0,,,,,,,,,,,,,,,1,1,1,0,1,1,1,1,,,,Communal
CP.1600.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,Communal
CP.0700.040,,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Communal
CP.1700.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,Communal
CP.1800.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
LY.0100.010,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,1,0,Communal
LY.0600.010,,1,0,0,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,,,,Communal
LY.0600.020,,1,0,0,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,,,,Communal
LY.0200.010,,1,0,0,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,,,,Communal
LY.0300.010,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,1,0,Communal
LY.0400.010,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,1,0,Communal
LY.0500.010,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,1,0,Communal
LY.0600.030,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,1,0,Communal
LY.0700.010,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,0,1,1,0,0,Communal
